VGR ordrsp verification result !!!
ORDRSP Copy back checked on 2014-12-01 at 2014-12-22_05-29-45
 
Integration Missing ordrsps Count - 5248
 
Database ordrsp count - 17029
 
Integration Missing ORDRSP ID/s list.
----------------------------------------------
ORDER ID | ORDRSP ID
 OR60823734|611481
 OR60823736|1114361
 OR60823737|611821
 OR60823740|1114367
 OR60823741|611841
 OR60823742|612043
 OR60823743|1114469
 OR60823744|6919412
 OR60823744|6929007
 OR60823744|6986191
 OR60823745|1114532
 OR60823746|1114556
 OR60823747|1114557
 OR60823748|612255
 OR60823749|1114577
 OR60823750|612259
 OR60823751|1114615
 OR60823752|1114630
 OR60823753|612539
 OR60823754|1114685
 OR60823755|1114690
 OR60823758|612781
 OR60823764|6937386
 OR60823764|6951394
 OR60823765|6937836
 OR60823765|6951470
 OR60823766|1114935
 OR60823767|613124
 OR60823768|1114936
 OR60823770|0095035371
 OR60823771|1114970
 OR60823772|6941111
 OR60823772|6951399
 OR60823773|1115051
 OR60823774|613309
 OR60823775|613356
 OR60823776|1115077
 OR60823777|1115090
 OR60823778|15826467
 OR60823780|1115111
 OR60823781|613481
 OR60823782|1115127
 OR60823783|1115139
 OR60823791|613604
 OR60823792|6945569
 OR60823792|6951133
 OR60823793|1115194
 OR60823794|6945570
 OR60823794|6951132
 OR60823795|6947413
 OR60823795|6951361
 OR60823795|6977783
 OR60823796|1115220
 OR60823797|1115239
 OR60823798|6951539
 OR60823798|6951937
 OR60823798|6977782
 OR60823799|1115354
 OR60823800|1115355
 OR60823801|614127
 OR60823802|1115409
 OR60823804|1115504
 OR60823805|1115579
 OR60823806|614612
 OR60823807|1115608
 OR60823809|1115641
 OR60823810|6964037
 OR60823810|6972798
 OR60823811|1115679
 OR60823812|1115693
 OR60823814|1115718
 OR60823815|1115723
 OR60823819|1115747
 OR60823820|15832934
 OR60823821|6967317
 OR60823821|6972855
 OR60823823|1115772
 OR60823824|1115785
 OR60823825|1115802
 OR60823829|6973822
 OR60823829|6973983
 OR60823831|615215
 OR60823832|1115832
 OR60823833|15834968
 OR60823835|1115900
 OR60823836|6978141
 OR60823837|1115902
 OR60823838|6978142
 OR60823839|1115903
 OR60823841|1115925
 OR60823843|6980272
 OR60823844|1115974
 OR60823845|1116022
 OR60823846|6983304
 OR60823848|6986433
 OR60823849|1116111
 OR61951374|604937
 OR61951382|604996
 OR61951427|605552
 OR61951473|606492
 OR61951478|606533
 OR61951504|606776
 OR61951528|606980
 OR61951657|608409
 OR61951674|608665
 OR61951695|609000
 OR61951708|609077
 OR61951718|609261
 OR61951722|609306
 OR61951726|101187330
 OR61951727|1113784
 OR61951728|101187331
 OR61951731|101187340
 OR61951732|6883399
 OR61951732|6883513
 OR61951733|1113638
 OR61951734|6883401
 OR61951734|6883504
 OR61951735|6884253
 OR61951735|6885112
 OR61951736|101187457
 OR61951737|1113708
 OR61951738|15811817
 OR61951739|1113727
 OR61951740|1113752
 OR61951741|6888745
 OR61951741|6907335
 OR61951742|101187506
 OR61951743|1113785
 OR61951747|101187524
 OR61951748|6889882
 OR61951748|6889883
 OR61951749|1113791
 OR61951750|101187530
 OR61951751|1113811
 OR61951752|101187539
 OR61951753|1113812
 OR61951754|6890963
 OR61951754|6890964
 OR61951755|6890965
 OR61951755|6890967
 OR61951756|101187538
 OR61951757|6891178
 OR61951757|6903257
 OR61951758|6891179
 OR61951758|6903259
 OR61951759|1113824
 OR61951760|1113825
 OR61951761|1113832
 OR61951762|1113849
 OR61951763|15813048
 OR61951764|101187566
 OR61951765|1113850
 OR61951766|610204
 OR61951767|6892150
 OR61951767|6907495
 OR61951768|6892152
 OR61951768|6903256
 OR61951771|610214
 OR61951772|1113855
 OR61951773|6892696
 OR61951773|6903207
 OR61951773|6937358
 OR61951774|6892698
 OR61951774|6903196
 OR61951775|6892824
 OR61951775|6903225
 OR61951775|6911647
 OR61951776|6892825
 OR61951776|6903226
 OR61951777|101187607
 OR61951778|1113932
 OR61951779|6894551
 OR61951779|6901964
 OR61951780|610385
 OR61951781|101187615
 OR61951782|101187626
 OR61951783|6895382
 OR61951783|6903240
 OR61951784|1113970
 OR61951785|1114013
 OR61951786|1114034
 OR61951787|101187660
 OR61951788|1114035
 OR61951789|6897247
 OR61951789|6903254
 OR61951790|6897248
 OR61951790|6903255
 OR61951791|1114043
 OR61951792|15814515
 OR61951794|1114045
 OR61951795|6898098
 OR61951795|6903251
 OR61951796|1114052
 OR61951801|610646
 OR61951802|101187745
 OR61951803|1114078
 OR61951806|101187747
 OR61951807|6900124
 OR61951807|6903263
 OR61951808|1114082
 OR61951809|6900125
 OR61951809|6903264
 OR61951810|101187751
 OR61951811|1114087
 OR61951812|1114091
 OR61951813|101187754
 OR61951814|1114093
 OR61951815|610736
 OR61951816|1114108
 OR61951817|1114111
 OR61951818|101187913
 OR61951819|101187915
 OR61951820|1114116
 OR61951821|610750
 OR61951822|610751
 OR61951823|101187919
 OR61951824|6907097
 OR61951824|6907248
 OR61951825|1114143
 OR61951826|6907099
 OR61951826|6907259
 OR61951827|1114155
 OR61951828|101187928
 OR61951829|1114159
 OR61951830|101187971
 OR61951831|1114176
 OR61951832|6907918
 OR61951832|6908522
 OR61951833|1114177
 OR61951834|6907919
 OR61951834|6908519
 OR61951835|1114198
 OR61951836|611172
 OR61951837|1114216
 OR61951838|611175
 OR61951839|1114240
 OR61951840|1114263
 OR61951841|611404
 OR61951842|101188090
 OR61951843|6911729
 OR61951843|6928737
 OR61951844|1114271
 OR61951845|101188105
 OR61951846|611733
 OR61951848|101188174
 OR61951849|1114355
 OR61951850|1114405
 OR61951851|101188238
 OR61951852|6917196
 OR61951852|6928947
 OR61951853|6917193
 OR61951853|6928950
 OR61951854|101188267
 OR61951855|6917960
 OR61951855|6929047
 OR61951856|6917961
 OR61951856|6929036
 OR61951857|101188266
 OR61951858|6917962
 OR61951858|6928957
 OR61951859|1114444
 OR61951860|6917965
 OR61951860|6929279
 OR61951861|1114445
 OR61951862|101188269
 OR61951863|1114454
 OR61951864|101188300
 OR61951865|101188340
 OR61951866|6919453
 OR61951866|6929280
 OR61951867|1114516
 OR61951868|6919456
 OR61951868|6929301
 OR61951869|101188345
 OR61951871|1114539
 OR61951872|6919914
 OR61951872|6928902
 OR61951873|1114540
 OR61951874|612179
 OR61951875|1114541
 OR61951876|6920765
 OR61951876|6928969
 OR61951877|6920766
 OR61951877|6929003
 OR61951878|1114582
 OR61951879|612270
 OR61951880|1114592
 OR61951881|612293
 OR61951882|101188395
 OR61951883|101188405
 OR61951884|1114609
 OR61951885|612378
 OR61951886|612379
 OR61951887|101188436
 OR61951888|1114621
 OR61951889|612393
 OR61951890|101188456
 OR61951891|6923336
 OR61951891|6935219
 OR61951892|1114648
 OR61951894|101188469
 OR61951895|1114663
 OR61951896|101188645
 OR61951897|1114678
 OR61951898|101188642
 OR61951899|6924873
 OR61951899|6929030
 OR61951900|6924874
 OR61951900|6929039
 OR61951901|6926656
 OR61951901|6929122
 OR61951902|6926657
 OR61951902|6929173
 OR61951903|1114683
 OR61951904|101188640
 OR61951905|101188639
 OR61951906|6928083
 OR61951906|6928878
 OR61951907|1114688
 OR61951908|6928084
